Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
271	Tapia, Raimel	COL	OF	272.00	248	287		6		
272	Voit, Luke	NYY	1B	273.00	260	284		6		
273	Gray, Josiah	WAS	P	275.00	260	297		6		
274	Wick, Rowan	CHC	P	275.33	235	304		6		
275	McGee, Jake	SF	P	276.33	234	307		6		
276	Barnes, Matt	BOS	P	276.83	239	329		6		
277	Yastrzemski, Mike	SF	OF	276.83	266	286		6		
278	Aguilar, Jesus	MIA	1B	277.33	258	298		6		
279	Nimmo, Brandon	NYM	OF	278.00	253	295		6		
280	Civale, Aaron	CLE	P	280.33	205	331		6		
281	Jung, Josh	TEX	3B	280.67	242	319		6		
282	Biggio, Cavan	TOR	3B	282.33	253	325		6		
283	Sanchez, Gary	NYY	C	282.33	265	321		6		
284	Bohm, Alec	PHI	3B	283.50	247	344		6		
285	Quantrill, Cal	CLE	P	284.17	230	354		6		
286	Megill, Tylor	NYM	P	285.00	271	300		6		
287	Crawford, J.P.	SEA	SS	287.33	254	318		6		
288	Rodriguez, Julio	SEA	OF	287.50	215	330		6		
289	Stassi, Max	LAA	C	288.50	243	320		6		
290	Greene, Riley	DET	OF	289.33	261	330		6		
291	Zunino, Mike	TB	C	289.50	278	311		6		
292	Tellez, Rowdy	MLW	1B	292.33	285	304		6		
293	Sewald, Paul	SEA	P	293.17	226	336		6		
294	Kelly, Carson	ARZ	C	294.33	266	316		6		
295	Giles, Ken	SEA	P	295.00	229	334		6		
296	Jansen, Danny	TOR	C	295.17	285	301		6		
297	Hendricks, Kyle	CHC	P	295.50	245	322		6		
298	Madrigal, Nick	CHC	2B	296.83	264	327		6		
299	Arraez, Luis	MIN	2B, 3B, OF	297.83	265	323		6		
300	Taillon, Jameson	NYY	P	300.50	279	339		6		
301	Carrasco, Carlos	NYM	P	301.67	278	343		6		
302	Luzardo, Jesus	MIA	P	301.83	278	344		6		
303	Molina, Yadier	STL	C	303.33	293	330		6		
304	McNeil, Jeff	NYM	2B, OF	304.50	282	326		6		
305	Tsutsugo, Yoshi	PIT	1B, OF	304.83	286	341		6		
306	Javier, Cristian	HOU	P	307.50	274	351		6		
307	Williams, Devin	MLW	P	307.50	276	342		6		
308	Joe, Connor	COL	OF	309.00	282	337		6		
309	Ortega, Rafael	CHC	OF	309.00	290	332		6		
310	Lauer, Eric	MLW	P	310.17	276	352		6		
311	Patino, Luis	TB	P	310.50	292	332		6		
312	Naquin, Tyler	CIN	OF	311.83	295	326		6		
313	Strasburg, Stephen	WAS	P	312.33	267	342		6		
314	Hernandez, Cesar	WAS	2B	313.83	252	349		6		
315	Rojas, Miguel	MIA	SS	314.00	263	347		6		
316	Kennedy, Ian	PHI	P	315.00	290	361		6		
317	Wade Jr., LaMonte	SF	1B, OF	316.17	279	338		6		
318	Lewis, Kyle	SEA	OF	316.33	293	335		6		
319	Fletcher, David	LAA	2B, SS	317.83	277	347		6		
320	Bart, Joey	SF	C	318.33	263	381		6		
321	Margot, Manuel	TB	OF	318.50	294	343		6		
322	Marsh, Brandon	LAA	OF	319.67	298	339		6		
323	Bauer, Trevor	LAD	P	321.17	226	361		6		
324	Fulmer, Michael	DET	P	322.83	297	341		6		
325	Kikuchi, Yusei	SEA	P	324.33	297	363		6		
326	McCann, James	NYM	C	325.33	295	378		6		
327	Hosmer, Eric	SD	1B	325.50	310	355		6		
328	Gonzales, Marco	SEA	P	326.00	302	392		6		
329	Gonsolin, Tony	LAD	P	329.33	315	343		6		
330	Frazier, Adam	SEA	2B	329.83	296	372		6		
331	Hernandez, Elieser	MIA	P	330.17	275	363		6		
332	Haase, Eric	DET	C, OF	330.33	296	385		6		
333	Pivetta, Nick	BOS	P	332.83	313	364		6		
334	Wisdom, Patrick	CHC	3B	333.67	316	359		6		
335	Dozier, Hunter	KC	3B, OF	333.83	319	355		6		
336	Brujan, Vidal	TB	OF	334.83	309	373		6		
337	Plesac, Zach	CLE	P	335.50	318	361		6		
338	Alzolay, Adbert	CHC	P	336.33	309	375		6		
339	McCutchen, Andrew	PHI	OF	339.17	310	357		6		
340	Barrero, Jose	CIN	SS	342.83	330	354		6		
341	Kim, Ha-Seong	SD	2B, 3B, SS	343.67	326	366		6		
342	Wendle, Joey	MIA	3B, SS	344.67	282	388		6		
343	Grichuk, Randal	TOR	OF	345.17	306	393		6		
344	Moustakas, Mike	CIN	3B	348.00	328	360		6		
345	Rainey, Tanner	WAS	P	350.17	322	387		6		
346	Cain, Lorenzo	MLW	OF	351.00	316	400		6		
347	Kaprielian, James	OAK	P	353.00	342	385		6		
348	Smith, Pavin	ARZ	1B, OF	353.33	303	383		6		
349	Longoria, Evan	SF	3B	354.33	328	372		6		
350	Gomes, Yan	CHC	C	354.83	335	387		6		
351	Kluber, Corey	TB	P	355.17	319	385		6		
352	Smith, Dominic	NYM	OF	355.33	333	372		6		
353	Cortes Jr., Nestor	NYY	P	356.33	292	395		6		
354	Stallings, Jacob	MIA	C	357.67	320	387		6		
355	Solak, Nick	TEX	2B	357.83	325	377		6		
356	Diaz, Yandy	TB	1B, 3B	359.00	323	398		6		
357	Nola, Austin	SD	C	362.17	305	400		6		
358	Greinke, Zack	HOU	P	362.83	338	391		6		
359	Walker, Taijuan	NYM	P	363.00	294	388		6		
360	Kemp, Tony	OAK	2B, OF	363.67	318	401		6		
361	Lowe, Josh	TB	OF	367.00	335	401		6		
362	Duran, Jarren	BOS	OF	367.00	329	395		6		
363	Wells, Tyler	BAL	P	367.33	362	378		6		
364	Flexen, Chris	SEA	P	368.00	332	411		6		
365	Anderson, Brian	MIA	3B	369.17	331	411		6		
366	Paddack, Chris	SD	P	370.83	345	405		6		
367	Flores, Wilmer	SF	1B, 2B, 3B	373.67	343	415		6		
368	Calhoun, Willie	TEX	OF	374.50	353	397		6		
369	Kiner-Falefa, Isiah	TEX	SS	374.50	344	408		6		
370	Singer, Brady	KC	P	375.17	348	407		6		
371	Reyes, Alex	STL	P	375.33	332	429		6		
372	Torrens, Luis	SEA	C	376.50	352	402		6		
373	Robles, Victor	WAS	OF	378.33	366	397		6		
374	Taylor, Michael A.	KC	OF	378.33	361	419		6		
375	Dunning, Dane	TEX	P	378.33	342	415		6		
376	McCormick, Chas	HOU	OF	379.00	354	412		6		
377	Harrison, Josh	OAK	2B, 3B, OF	380.83	353	406		6		
378	Alcala, Jorge	MIN	P	381.17	348	429		6		
379	Gibson, Kyle	PHI	P	381.33	358	396		6		
380	Miranda, Jose	MIN	3B	382.50	353	411		6		
381	Castillo, Diego	SEA	P	383.33	315	453		6		
382	Sanchez, Sixto	MIA	P	383.50	348	474		6		
383	Hoerner, Nico	CHC	2B	384.83	362	408		6		
384	Hernandez, Carlos	KC	P	385.33	370	421		6		
385	Taylor, Tyrone	MLW	OF	385.33	333	408		6		
386	Alfaro, Jorge	SD	C, OF	385.33	362	428		6		
387	Johnson, Pierce	SD	P	388.67	297	467		6		
388	Loaisiga , Jonathan	NYY	P	388.83	354	438		6		
389	Mateo, Jorge	BAL	OF	389.33	353	418		6		
390	Finnegan, Kyle	WAS	P	389.33	338	464		6		
391	Green, Chad	NYY	P	390.50	346	433		6		
392	Steckenrider, Drew	SEA	P	390.67	293	468		6		
393	Bender, Anthony	MIA	P	391.00	376	419		6		
394	Frazier, Clint	CHC	OF	392.83	367	418		6		
395	Hilliard, Sam	COL	OF	393.67	337	452		6		
396	Barnhart, Tucker	DET	C	394.17	383	411		6		
397	Walker, Christian	ARZ	1B	394.17	347	423		6		
398	Urias, Ramon	BAL	2B, SS	396.33	356	432		6		
399	DeJong, Paul	STL	SS	397.50	377	441		6		
400	Senzel, Nick	CIN	OF	399.17	365	467		6		
401	Sosa, Edmundo	STL	2B, SS	399.17	387	416		6		
402	Melendez, MJ	KC	C	401.83	365	468		6		
403	Detmers, Reid	LAA	P	402.00	378	418		6		
404	Hudson, Dakota	STL	P	403.33	352	446		6		
405	De La Cruz, Bryan	MIA	OF	405.00	307	455		6		
406	German, Domingo	NYY	P	405.17	352	429		6		
407	Pineda, Michael	MIN	P	407.17	371	478		6		
408	Bradley, Bobby	CLE	1B	408.17	377	435		6		
409	Estevez, Carlos	COL	P	410.33	381	434		6		
410	Mejia, Francisco	TB	C	410.50	391	431		6		
411	Hiura, Keston	MLW	1B	411.17	381	457		6		
412	Corbin, Patrick	WAS	P	413.33	383	430		6		
413	Greene, Hunter	CIN	P	413.50	335	478		6		
414	Davis, J.D.	NYM	3B	413.50	403	426		6		
415	Gregorius, Didi	PHI	SS	413.67	388	453		6		
416	Weaver, Luke	ARZ	P	418.33	393	437		6		
417	Pena, Jeremy	HOU	SS	418.83	345	500		6		
418	Bundy, Dylan	MIN	P	420.00	393	464		6		
419	Wade, Tyler	LAA	3B, SS, OF	420.83	371	451		6		
420	Heim, Jonah	TEX	C	420.83	403	434		6		
421	Ruf, Darin	SF	1B, OF	421.83	377	478		6		
422	Odor, Rougned	BAL	2B, 3B	422.50	351	477		6		
423	Contreras, Roansy	PIT	P	422.83	384	463		6		
424	Houser, Adrian	MLW	P	424.17	406	447		6		
425	Lamet, Dinelson	SD	P	426.00	368	464		6		
426	Santana, Carlos	KC	1B	426.33	384	463		6		
427	Stott, Bryson	PHI	SS	426.33	417	433		6		
428	Pederson, Joc	ATL	OF	428.00	406	450		6		
429	Cooper, Garrett	MIA	OF	428.17	386	480		6		
430	Peralta, David	ARZ	OF	431.00	381	483		6		
431	Staumont, Josh	KC	P	432.67	409	499		6		
432	Brown, Seth	OAK	OF	432.67	405	488		6		
433	Minor, Mike	KC	P	433.50	362	483		6		
434	Suarez, Robert	SD	P	433.50	349	530		6		
435	Moore, Dylan	SEA	2B, OF	433.83	407	471		6		
436	Karinchak, James	CLE	P	435.50	420	450		6		
437	Garcia, Luis	WAS	2B	436.50	399	538		6		
438	Miley, Wade	CHC	P	436.50	402	463		6		
439	Jeffers, Ryan	MIN	C	437.00	398	454		6		
440	Wacha, Michael	BOS	P	438.50	414	469		6		
441	Zimmer, Bradley	CLE	OF	439.67	413	468		6		
442	Kieboom, Carter	WAS	3B	440.17	416	477		6		
443	Colome, Alex	MIN	P	441.33	410	501		6		
444	Mikolas, Miles	STL	P	442.00	398	473		6		
445	Calhoun, Kole	TEX	OF	442.83	395	491		6		
446	Sheets, Gavin	CWS	UT	443.00	422	481		6		
447	Hill, Rich	BOS	P	445.67	423	463		6		
448	Gordon, Nick	MIN	OF	450.67	376	500		6		
449	Garcia, Leury	CWS	2B, OF	452.00	430	481		6		
450	Isbel, Kyle	KC	OF	452.83	432	466		6		
451	Brubaker, JT	PIT	P	454.17	422	479		6		
452	Eflin, Zach	PHI	P	456.67	416	501		6		
453	Bumgarner, Madison	ARZ	P	458.00	409	514		6		
454	Warren, Art	CIN	P	458.00	429	491		6		
455	Kelly, Merrill	ARZ	P	458.33	412	518		6		
456	Cabrera, Miguel	DET	1B	459.67	434	522		6		
457	Severino, Pedro	MLW	C	459.83	442	492		6		
458	Hicks, Aaron	NYY	OF	459.83	417	492		6		
459	Bubic, Kris	KC	P	461.33	455	466		6		
460	Profar, Jurickson	SD	1B, OF	461.50	435	483		6		
461	Martinez, Nick	FA	P	465.33	439	502		6		
462	Pearson, Nate	TOR	P	467.33	422	527		6		
463	Gorman, Nolan	STL	2B	467.33	414	512		6		
464	Stratton, Chris	PIT	P	467.83	443	488		6		
465	Cabrera, Edward	MIA	P	467.83	444	508		6		
466	Odorizzi, Jake	HOU	P	467.83	451	485		6		
467	Alford, Anthony	PIT	OF	468.83	423	491		6		
468	Farmer, Kyle	CIN	SS	469.50	441	515		6		
469	Moreno, Gabriel	TOR	C	470.17	391	518		6		
470	Rodriguez, Grayson	BAL	P	471.17	419	539		6		
471	Espinal, Santiago	TOR	3B	471.17	437	499		6		
472	Sulser, Cole	BAL	P	471.50	389	537		6		
